mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
180.83902470270792,12.839880982062665,0.7525308132171631,0.25414476678893116,0.05,0.0001,"{'svm__C': 0.05, 'svm__tol': 0.0001}",0.8408252992772264,0.8407898123401937,0.8460398071094087,0.8425516395756096,0.0024665494641384848,1,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
118.34161893526714,4.105968915320603,0.7261718908945719,0.16301194278747402,0.05,0.001,"{'svm__C': 0.05, 'svm__tol': 0.001}",0.8415653500867498,0.840036122329907,0.8457911910340294,0.8424642211502288,0.002433951634532103,2,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
345.11100395520526,32.329941803228124,0.38850561777750653,0.07059933856919197,0.1,0.0001,"{'svm__C': 0.1, 'svm__tol': 0.0001}",0.83707140523643,0.8367900832050013,0.8437777185533393,0.8392130689982569,0.0032297373156215574,3,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
161.11612780888876,13.37547398614243,1.371794859568278,0.6435191534501246,0.1,0.001,"{'svm__C': 0.1, 'svm__tol': 0.001}",0.8368200866172543,0.8382986227302185,0.8417854820058657,0.8389680637844461,0.0020816502003818864,4,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
753.0060082276663,6.2908211548857,0.16227984428405762,0.013491312834570852,0.5,0.0001,"{'svm__C': 0.5, 'svm__tol': 0.0001}",0.8335653124009401,0.8342952617457079,0.8392798369285637,0.8357134703584039,0.002539348262323312,5,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
122.62094696362813,15.055326050266935,0.9375855922698975,0.03848509272546273,0.5,0.001,"{'svm__C': 0.5, 'svm__tol': 0.001}",0.8338318446122701,0.8335262981695675,0.8365488558798168,0.8346356662205515,0.0013585680356909728,6,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
218.95959289868674,62.60626132241505,0.1508023738861084,0.01940149160332159,10.0,0.0001,"{'svm__C': 10, 'svm__tol': 0.0001}",0.8323379827749148,0.8315356320652674,0.836784601758689,0.8335527388662903,0.0023086280170648496,7,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
145.5110064347585,15.138203665602415,0.8180750211079916,0.019243528409271345,1.0,0.001,"{'svm__C': 1, 'svm__tol': 0.001}",0.8318258243797457,0.8327763994302996,0.8357953431273304,0.8334658556457919,0.0016922927596739444,8,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
90.1103355884552,11.641287486900497,0.7128391265869141,0.05329488329157278,3.0,0.001,"{'svm__C': 3, 'svm__tol': 0.001}",0.8295564532375296,0.8325287643657218,0.8382964009899777,0.8334605395310763,0.0036283904051208392,9,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
689.4942036469778,38.82667195957962,0.1677251656850179,0.035613677988402814,1.0,0.0001,"{'svm__C': 1, 'svm__tol': 0.0001}",0.8313221203222927,0.8340422453096145,0.8347861052798469,0.833383490303918,0.0014889071080690936,10,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
94.11020596822102,5.904846697622385,0.38063891728719074,0.018081396443462395,10.0,0.001,"{'svm__C': 10, 'svm__tol': 0.001}",0.8333437147701352,0.8300379751060616,0.8357977254127205,0.8330598050963057,0.0023599624892406963,11,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
294.114106575648,99.45032993434742,0.21246735254923502,0.06110416089644523,3.0,0.0001,"{'svm__C': 3, 'svm__tol': 0.0001}",0.8303048849669044,0.8307927038424945,0.8372960944187815,0.8327978944093934,0.0031869362829306264,12,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
