mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
217.9584983587265,4.279802918434143,5.755921721458435,0.8227585554122925,20,sqrt,1,600,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 600}",0.797602986449342,0.7957179681637873,0.7966604773065646,0.0009425091427773813,1,1.0,0.9998333555518525,0.9999166777759263,8.332222407375633e-05
185.5446845293045,1.0518771409988403,2.1689200401306152,0.014705419540405273,40,sqrt,1,600,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 600}",0.7994933708770172,0.79214914932109,0.7958212600990536,0.0036721107779635886,2,1.0,0.9998333555518525,0.9999166777759263,8.332222407375633e-05
225.46109426021576,3.1730674505233765,4.7267067432403564,0.7246520519256592,,sqrt,1,600,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 600}",0.7991606477685708,0.79214914932109,0.7956548985448304,0.003505749223740362,3,1.0,0.9998333555518525,0.9999166777759263,8.332222407375633e-05
146.4386739730835,0.9447109699249268,2.5757522583007812,0.12157678604125977,40,sqrt,1,400,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 400}",0.7966339689085665,0.7913221151832958,0.7939780420459311,0.0026559268626353827,4,1.0,0.9998333555518525,0.9999166777759263,8.332222407375633e-05
151.30355489253998,2.8637861013412476,3.849197506904602,0.042624831199645996,,sqrt,1,400,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 400}",0.7962989513523325,0.7913221151832958,0.7938105332678141,0.0024884180845183845,5,1.0,0.9998333555518525,0.9999166777759263,8.332222407375633e-05
144.64288425445557,2.0578248500823975,2.6709870100021362,0.26837337017059326,20,sqrt,1,400,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 400}",0.7946107008770247,0.7906930756802947,0.7926518882786597,0.0019588125983650007,6,1.0,0.9998333555518525,0.9999166777759263,8.332222407375633e-05
76.18182051181793,0.03434956073760986,2.158473014831543,0.043477535247802734,,sqrt,1,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.796056083299911,0.7847880042722492,0.79042204378608,0.005634039513830902,7,1.0,0.9998333555518525,0.9999166777759263,8.332222407375633e-05
75.72865557670593,0.5447394847869873,2.4395368099212646,0.12692642211914062,40,sqrt,1,200,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.796056083299911,0.7847880042722492,0.79042204378608,0.005634039513830902,7,1.0,0.9998333555518525,0.9999166777759263,8.332222407375633e-05
75.47773540019989,1.758309006690979,2.0995534658432007,0.10491931438446045,20,sqrt,1,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.7944680214044679,0.7856648323134928,0.7900664268589803,0.004401594545487553,9,1.0,0.9998333555518525,0.9999166777759263,8.332222407375633e-05
195.9133267402649,2.72029447555542,5.309242010116577,0.6306948661804199,,sqrt,4,600,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 600}",0.7860134624430455,0.7726546666042863,0.7793340645236659,0.006679397919379604,10,0.9976671987559812,0.9981666888481489,0.997916943802065,0.00024974504608382686
75.57390058040619,2.5995086431503296,0.8556097745895386,0.4384232759475708,40,sqrt,4,600,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 600}",0.7860134624430455,0.7726546666042863,0.7793340645236659,0.006679397919379604,10,0.9976671987559812,0.9981666888481489,0.997916943802065,0.00024974504608382686
106.30181312561035,0.21508288383483887,2.0405490398406982,0.06999778747558594,40,sqrt,4,400,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 400}",0.7854771136614428,0.7706699771638463,0.7780735454126446,0.007403568248798231,12,0.9976670879039704,0.998333599555662,0.9980003437298162,0.0003332558258458129
127.6078360080719,1.412973403930664,3.882113814353943,0.10416042804718018,,sqrt,4,400,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 400}",0.7854771136614428,0.7706699771638463,0.7780735454126446,0.007403568248798231,12,0.9976670879039704,0.998333599555662,0.9980003437298162,0.0003332558258458129
183.10481214523315,2.232524871826172,4.175160527229309,0.13938391208648682,20,sqrt,4,600,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 600}",0.7844997662513551,0.7710166000593986,0.7777581831553768,0.00674158309597822,14,0.9973341533639744,0.9986666666666667,0.9980004100153206,0.0006662566513461754
132.83119368553162,0.8803770542144775,4.092065215110779,0.5664061307907104,20,sqrt,4,400,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 400}",0.7843537012587972,0.7710316339018258,0.7776926675803115,0.006661033678485695,15,0.9975003325001663,0.9983334220740859,0.9979168772871261,0.0004165447869597938
69.6548080444336,0.019232749938964844,2.2859342098236084,0.07105183601379395,,sqrt,4,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 200}",0.7800244506005345,0.7646490531240254,0.7723367518622799,0.007687698738254534,16,0.996501284380261,0.9973335771260152,0.9969174307531381,0.0004161463728771242
