mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.6731561024983724,0.028239633108352036,5.988433043162028,0.2767070752815218,3,distance,"{'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.8896994561209008,0.8858957611986581,0.8924817333735996,0.8893589835643861,0.002699468903763683,1,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
0.45303813616434735,0.06882508290188126,6.228897412618001,0.33655671837055817,5,distance,"{'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.8867411089984726,0.8830900018756066,0.8883434383245359,0.8860581830662051,0.0021983993423181506,2,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
0.57232666015625,0.08418378960553637,6.3929572105407715,0.10467507940477132,1,distance,"{'knn__n_neighbors': 1, 'knn__weights': 'distance'}",0.8812248655008253,0.8818415019283775,0.8940833114156285,0.8857165596149438,0.005921540446631629,3,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
0.5296540260314941,0.017517044036897553,6.444721539815267,0.24736988060531212,1,uniform,"{'knn__n_neighbors': 1, 'knn__weights': 'uniform'}",0.8812248655008253,0.8818415019283775,0.8940833114156285,0.8857165596149438,0.005921540446631629,3,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
0.4496126174926758,0.011282203535265167,6.028148094813029,0.07774583251733531,7,distance,"{'knn__n_neighbors': 7, 'knn__weights': 'distance'}",0.8766832775911488,0.8740291405767122,0.8808627038599058,0.8771917073425889,0.002812860038639807,5,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
0.4738309383392334,0.04479678174124614,6.101714849472046,0.09836217605736108,9,distance,"{'knn__n_neighbors': 9, 'knn__weights': 'distance'}",0.8695090817712653,0.8705102088671367,0.8777402014476426,0.8725864973620149,0.0036670663312957414,6,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
0.36786770820617676,0.09979298460691144,5.917870203653972,0.3708618676154781,11,distance,"{'knn__n_neighbors': 11, 'knn__weights': 'distance'}",0.8623735234822621,0.8613791596373309,0.8721185119423819,0.8652903983539916,0.004845241049799697,7,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
0.5674564043680826,0.023594881833120883,6.426317612330119,0.4722438490925495,3,uniform,"{'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.8550134892243216,0.8442780222367764,0.8539658807717101,0.8510857974109362,0.004832785462092856,8,0.935892982079256,0.9382049872847227,0.9390503217819419,0.9377160970486402,0.001334530815615695
0.4422899881998698,0.0908361665063436,6.34716002146403,0.3359472409063359,15,distance,"{'knn__n_neighbors': 15, 'knn__weights': 'distance'}",0.8438241373938684,0.8513465726618197,0.8568831045144681,0.8506846048567187,0.0053518100735775245,9,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
0.4670406182607015,0.14153927545678283,5.989332437515259,0.4144770697266763,21,distance,"{'knn__n_neighbors': 21, 'knn__weights': 'distance'}",0.8325140338925678,0.8320074700159462,0.8331310001551597,0.8325508346878913,0.00045941681679611407,10,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
0.38065608342488605,0.04981182228692917,6.131245215733846,0.154448097009257,5,uniform,"{'knn__n_neighbors': 5, 'knn__weights': 'uniform'}",0.8259622185737394,0.8204522092941141,0.8250605770485526,0.8238250016388021,0.002413163278116432,11,0.8932544486744887,0.8975714630588468,0.8966138889773412,0.8958132669035589,0.0018511077903892057
0.49329765637715656,0.05229346467703926,5.877234538396199,0.12700611188362124,7,uniform,"{'knn__n_neighbors': 7, 'knn__weights': 'uniform'}",0.805675650451181,0.8083407287135955,0.8118470125184596,0.8086211305610785,0.002527237798917414,12,0.8705716477063195,0.8716942876550771,0.8645901600109761,0.868952031790791,0.003118175126714871
0.3691933949788411,0.02135079611738525,2.9348722298940024,0.1272605926247666,33,distance,"{'knn__n_neighbors': 33, 'knn__weights': 'distance'}",0.807581024655835,0.8049364102168772,0.8058089760942785,0.8061088036556635,0.0011002783913206169,13,1.0,1.0,0.9998750124984377,0.9999583374994793,5.8919673278850264e-05
0.3755811055501302,0.035825134386201496,5.74578873316447,0.5428994825518171,9,uniform,"{'knn__n_neighbors': 9, 'knn__weights': 'uniform'}",0.7979988973857698,0.8007880767158488,0.8026065164460559,0.8004644968492247,0.0018949171131813236,14,0.8482914401830043,0.8492621818686951,0.8417102303714831,0.8464212841410608,0.003354708687797287
0.49772270520528156,0.0390718297142319,6.069728374481201,0.1414492880447193,11,uniform,"{'knn__n_neighbors': 11, 'knn__weights': 'uniform'}",0.7902229606509991,0.7923334111777568,0.7921140673100225,0.7915568130462595,0.0009474173991557589,15,0.8328613582862505,0.8364584193281086,0.8263168020362964,0.8318788598835519,0.0041981803722466095
0.45986493428548175,0.13618691607792838,5.875727494557698,0.1406025178453529,15,uniform,"{'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.7760126727134136,0.7782703196076548,0.7792758411326676,0.7778529444845786,0.0013644824484339098,16,0.8087773007116401,0.8111756075268858,0.8013214326495678,0.8070914469626979,0.0041958525375508735
